"Date" "AAPL" "AXP" "BA" "CAT" "CSCO"
"2010-06-08" 24.222099 35.026081 51.975395 47.077755 18.109591
"2010-06-15" 25.735741 37.405655 54.501205 50.990612 18.571083
"2010-06-22" 25.557608 36.975407 53.963966 49.701756 17.83906
"2010-06-29" 23.522905 34.613392 49.666088 45.673122 16.812645
"2010-07-06" 24.50882 37.77721 51.590515 49.609138 18.189159
"2010-07-13" 23.393353 36.674694 50.660378 50.010464 18.085722
"2010-07-20" 24.698387 40.070488 55.206833 54.375648 18.785915
"2010-07-27" 24.943192 39.682404 55.880371 55.199173 18.937092
"2010-08-03" 24.933666 38.588684 55.31908 55.991615 19.708899
"2010-08-10" 23.589582 36.639408 51.9524 53.210289 17.43327
"2010-08-17" 23.41431 35.457493 51.065014 51.928398 17.250257
"2010-08-24" 23.099962 35.184059 50.096958 50.087128 16.16814
"2010-08-31" 24.649805 36.868729 52.146011 54.445557 16.741024
"2010-09-07" 25.437584 36.357166 51.782997 56.123692 16.916075
"2010-09-14" 26.979805 38.033005 51.403835 58.073723 17.305962
"2010-09-21" 27.735193 38.315258 51.540981 61.795113 17.592403
"2010-09-28" 26.542568 34.443161 53.509361 60.031536 17.313919
"2010-10-05" 28.135275 33.464108 56.461922 62.136948 17.878847
"2010-10-12" 30.291903 35.048973 56.65556 62.338947 18.539261
"2010-10-19" 29.419352 34.827438 57.809155 61.41444 18.785915
"2010-10-26" 28.975449 36.830227 56.85722 61.924564 18.236898
"2010-11-02" 30.350965 38.903927 56.639412 64.932152 19.406542
"2010-11-09" 29.247883 37.840508 51.625824 63.916588 15.873748
"2010-11-16" 29.849915 37.415127 51.966694 65.61956 15.563431
"2010-11-23" 30.184271 38.3988 52.234535 65.361778 15.467948
"2010-11-30" 30.496708 39.878735 54.044395 69.68174 15.459991
"2010-12-07" 30.641502 41.092812 51.771915 71.580025 15.579342
"2010-12-14" 30.69294 37.663254 51.349876 72.884621 15.611172
"2010-12-21" 30.92823 38.150658 52.551044 73.486115 16.040834
"2010-12-28" 31.394041 38.460842 53.890182 73.548615 16.303411
"2011-01-04" 32.62096 39.400188 56.07338 72.954903 16.542112
"2011-01-11" 33.195358 41.155025 56.868771 73.439232 16.876297
"2011-01-18" 32.14468 40.745701 59.027622 73.876717 16.844467
"2011-01-25" 32.3228 38.601192 56.389904 76.13916 16.828554
"2011-02-01" 33.519241 39.882576 58.378319 78.854782 17.528748
"2011-02-08" 34.214615 41.395283 58.646156 81.04451 14.966668
"2011-02-15" 33.393494 40.514355 59.623623 83.085152 14.998499
"2011-02-22" 33.645931 38.77026 58.782818 80.785522 14.767752
"2011-03-01" 33.850731 38.894844 57.860355 80.157623 14.481311
"2011-03-08" 33.679264 39.072811 57.746086 80.134087 14.202821
"2011-03-15" 32.3209 39.437637 58.121613 84.442963 13.836812
"2011-03-22" 33.382069 40.68343 59.835838 85.863548 13.677676
"2011-03-29" 32.500927 40.41647 60.366455 88.987282 13.574238
"2011-04-05" 31.511202 41.270714 60.211369 85.604568 13.94915
"2011-04-12" 31.611231 41.149036 59.419533 81.546837 13.358288
"2011-04-19" 33.626881 42.033478 61.141964 85.431885 13.65372
"2011-04-26" 32.985802 44.356277 64.921509 90.138115 14.03698
"2011-05-03" 33.111526 44.838676 65.011284 88.002274 14.052954
"2011-05-10" 31.749353 44.731491 63.48476 83.612396 13.25449
"2011-05-17" 31.854137 45.669525 62.597301 80.302292 13.054874
"2011-05-24" 32.140858 45.678478 63.179966 82.438087 13.142704
"2011-05-31" 32.200867 43.579021 61.202255 78.702377 12.767426
"2011-06-07" 31.111126 43.096607 59.85643 75.218864 12.024858
"2011-06-14" 30.036621 43.668373 61.153019 77.378326 12.088734
"2011-06-21" 31.629322 44.257999 58.773193 79.443214 12.016871
"2011-06-28" 32.698116 46.759457 60.947853 85.606377 12.663626
"2011-07-05" 33.72118 46.866245 60.192886 85.243843 12.320288
"2011-07-12" 35.607288 46.023418 57.074509 84.960121 12.375088
"2011-07-19" 37.960136 46.453812 58.518829 83.62529 13.048345
"2011-07-26" 37.793446 44.848862 57.714596 79.7155 12.68767
"2011-08-02" 33.645931 38.590458 48.178921 65.374283 11.172845
"2011-08-09" 36.522709 41.083057 51.45322 72.315376 12.847972
"2011-08-16" 33.953613 39.989178 48.23307 63.229446 12.030447
"2011-08-23" 37.147594 43.530819 53.371979 69.766884 12.615537
"2011-08-30" 35.631092 43.494961 52.901054 67.574539 12.351043
"2011-09-06" 36.192162 42.55352 51.546101 66.379463 12.896059
