"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1990-10-26 342.51 660.73 1797.01 1497.58
1990-10-27 336.57 652.64 1767.09 1457.05
1990-10-30 333.51 652.33 1777.26 1454.49
1990-10-31 336.01 643.37 1761.64 1431.14
1990-11-01 335.95 648.58 1796.56 1433.82
1990-11-02 339.35 641.62 1796.56 1417.26
1990-11-03 344.73 642.53 1784.79 1414.32
1990-11-06 348.2 649 1769.25 1414.95
1990-11-07 344.99 655.44 1761.53 1398.24
1990-11-08 338.81 652.05 1728.75 1371.15
1990-11-09 340.76 644.71 1713.89 1369.44
1990-11-10 347.7 646.05 1717.14 1381.49
1990-11-13 354.07 649.61 1743.89 1402.24
1990-11-14 352.11 651.08 1757.86 1402.91
1990-11-15 355.2 647.78 1745.85 1406.23
1990-11-16 351.47 652.28 1744.64 1421.19
1990-11-17 351.69 654.81 1760.02 1425.68
1990-11-20 354.16 665.28 1783.54 1467.47
1990-11-21 349.7 671.47 1782.99 1467.3
1990-11-22 350.52 674.93 1776.25 1467.3
1990-11-23 350.52 675.49 1790.13 1496.1
1990-11-24 349.49 688.93 1790.53 1483.36
1990-11-27 351.18 683.13 1754.7 1443.16
1990-11-28 353.08 685.52 1753.26 1415.26
1990-11-29 352.92 680.67 1748.16 1420.62
1990-11-30 351.23 678.07 1754.51 1418.92
1990-12-01 357.67 682.17 1753.15 1441.23
1990-12-04 360 686.43 1796.56 1462.58
1990-12-05 362.57 681.23 1798.38 1446.34
1990-12-06 366.54 683.18 1813.57 1470.96
1990-12-07 365.62 691.21 1849.7 1504.67
1990-12-08 364.17 693.17 1846.63 1512.84
1990-12-11 365.5 694.27 1829.48 1504.8
1990-12-12 362.92 689.12 1819.14 1492.68
1990-12-13 367.09 686.18 1821.66 1517.24
1990-12-14 366.17 691.02 1812.43 1517.8
1990-12-15 363.37 689.89 1786.35 1522.4
1990-12-18 362.5 686.52 1754.36 1475.87
1990-12-19 367 687.76 1738.44 1477.41
1990-12-20 367.19 693.15 1735.89 1457.24
